=== Log-Likelihood Precision Test ===
Number of trials: 10
Random seed: 42

Loading data...
F81 mu is 1.34314
Loaded: 38 taxa, 73 edges, 6736 patterns
Root probs: [0.287712, 0.191584, 0.245721, 0.274983]
Allocating GPU memory...
  Post order size: 73
  Node edges size: 73
  Root edges: 3
  Allocating basic arrays...
  Allocating pattern bases...
  Allocating upward messages (0.0157353 GB)...
  Allocating upward scales...
  Allocating downward messages...
  Allocating downward scales...
  GPU memory allocation complete.
Copying data to GPU...
  post_order...
  edge_child...
  edge_parent...
  node_is_leaf (size=74)...
  leaf_taxon (size=74)...
  pattern_bases (size=255968, expect=255968)...
  trans_flat...
  weights...
  root_probs...
  node_nch...
  node_off...
  node_edges...
  root_edges...
Data copy complete.
Running 1000 GPU timing trials...

=== GPU Timing Results (1000 trials) ===
Forward pass (Pruning):
  Average: 1.170 ms
  Std Dev: 6.6193e-02 ms
  Range:   1.140 to 2.914 ms

Backward pass:
  Average: 1.578 ms
  Std Dev: 4.3950e-02 ms
  Range:   1.507 to 1.782 ms

Propagation / Pruning time ratio:
  Average: 2.349321
  Std Dev: 3.0560e-02
  Range:   1.609620 to 2.418979

=== Timing Ratio Distribution ===
Trial     Fwd_ms        Bwd_ms        Ratio
  529      1.159168      1.559552      2.345406
  530      1.164288      1.565696      2.344767
  531      1.148672      1.527808      2.330065
  532      1.150784      1.571840      2.365886
  533      1.163264      1.548288      2.330986
  534      1.147712      1.558528      2.357944
  535      1.165312      1.574912      2.351494
  536      1.154048      1.579680      2.368817
  537      1.160160      1.525664      2.315046
  538      1.154944      1.577984      2.366286
  539      1.161216      1.583360      2.363536
  540      1.147904      1.571840      2.369313
  541      1.153984      1.570816      2.361212
  542      1.146560      1.571776      2.370862
  543      1.152768      1.589248      2.378636
  544      1.165440      1.559296      2.337946
  545      1.156032      1.552032      2.342551
  546      1.158944      1.585120      2.367728
  547      1.156096      1.583104      2.369354
  548      1.153952      1.564320      2.355620
  549      1.161120      1.564672      2.347554
  550      1.162240      1.563648      2.345374
  551      1.161216      1.574880      2.356233
  552      1.157760      1.551040      2.339690
  553      1.157120      1.576960      2.362832
  554      1.161824      1.549344      2.333544
  555      1.154272      1.572384      2.362230
  556      1.154048      1.513472      2.311446
  557      1.160192      1.566720      2.350397
  558      1.159168      1.574720      2.358492
  559      1.159168      1.572864      2.356890
  560      1.166144      1.596224      2.368805
  561      1.152992      1.586496      2.375982
  562      1.153728      1.575104      2.365230
  563      1.147904      1.583040      2.379070
  564      1.165312      1.578816      2.354844
  565      1.153664      1.551360      2.344724
  566      1.171456      1.564672      2.335664
  567      1.158848      1.566720      2.351963
  568      1.161216      1.567648      2.350006
  569      1.154048      1.554432      2.346939
  570      1.151904      1.562976      2.356863
  571      1.152000      1.539072      2.336000
  572      1.153024      1.525984      2.323462
  573      1.194272      1.579104      2.322231
  574      1.156096      1.571712      2.359500
  575      1.159072      1.538048      2.326965
  576      1.148928      1.581056      2.376114
  577      1.150592      1.592320      2.383914
  578      1.153024      1.563136      2.355684
  579      1.156096      1.558528      2.348096
  580      1.159072      1.535968      2.325170
  581      1.165280      1.581056      2.356803
  582      1.163264      1.580768      2.358907
  583      1.171456      1.552384      2.325175
  584      1.152000      1.565696      2.359111
  585      1.149952      1.575936      2.370436
  586      1.156032      1.577728      2.364779
  587      1.155040      1.579712      2.367669
  588      1.161824      1.570816      2.352026
  589      1.168192      1.586176      2.357804
  590      1.148928      1.564416      2.361631
  591      1.160672      1.585792      2.366271
  592      1.153024      1.533728      2.330179
  593      1.156096      1.568352      2.356593
  594      1.154048      1.574912      2.364685
  595      1.159008      1.572864      2.357078
  596      1.143872      1.553376      2.357998
  597      1.155712      1.544064      2.336029
  598      1.153568      1.576960      2.367028
  599      1.160096      1.560576      2.345213
  600      1.146880      1.572864      2.371429
  601      1.154976      1.507904      2.305572
  602      1.154048      1.559552      2.351375
  603      1.152800      1.577984      2.368827
