=== Precision, Memory, and Timing Test ===
Number of trials: 10
Random seed: 42

Loading data...
F81 mu is 1.34314
Loaded: 38 taxa, 73 edges, 6736 patterns
Root probs: [0.287712, 0.191584, 0.245721, 0.274983]
Allocating GPU memory...
  Post order size: 73
  Node edges size: 73
  Root edges: 3
  Allocating basic arrays...
  Allocating pattern bases...
  Allocating upward messages (0.0157353 GB)...
  Allocating upward scales...
  Allocating downward messages...
  Allocating downward scales...
  GPU memory allocation complete.

=== Memory Requirements ===
Shared (tree structure, patterns):  0.000402 GB
Pruning algorithm total:            0.020071 GB
Propagation algorithm total:        0.039740 GB
Additional memory for propagation:  0.019669 GB
Propagation / Pruning memory ratio: 1.9800

Copying data to GPU...
  post_order...
  edge_child...
  edge_parent...
  node_is_leaf (size=74)...
  leaf_taxon (size=74)...
  pattern_bases (size=255968, expect=255968)...
  trans_flat...
  weights...
  root_probs...
  node_nch...
  node_off...
  node_edges...
  root_edges...
Data copy complete.
Running 1000 GPU timing trials...

=== GPU Timing Results (1000 trials) ===
Forward pass (Pruning):
  Average: 1.163 ms
  Std Dev: 4.7816e-02 ms
  Range:   1.139 to 2.349 ms

Backward pass:
  Average: 1.566 ms
  Std Dev: 3.7199e-02 ms
  Range:   1.488 to 1.763 ms

Propagation / Pruning time ratio:
  Average: 2.347797
  Std Dev: 2.7477e-02
  Range:   1.750572 to 2.406526

=== Timing Ratio Distribution ===
Trial     Fwd_ms        Bwd_ms        Ratio
  363      1.149952      1.588160      2.381066
  364      1.166880      1.563840      2.340189
  365      1.155648      1.560576      2.350390
  366      1.157120      1.553408      2.342478
  367      1.149952      1.560864      2.357330
  368      1.152064      1.567456      2.360564
  369      1.162240      1.573888      2.354185
  370      1.154048      1.565696      2.356699
  371      1.152000      1.552800      2.347917
  372      1.162848      1.591296      2.368447
  373      1.150976      1.562336      2.357401
  374      1.147488      1.544192      2.345715
  375      1.150656      1.514496      2.316202
  376      1.160288      1.568416      2.351747
  377      1.149952      1.578656      2.372802
  378      1.149952      1.584288      2.377699
  379      1.151968      1.570880      2.363649
  380      1.162240      1.569408      2.350330
  381      1.145856      1.547264      2.350313
  382      1.149952      1.582080      2.375779
  383      1.150912      1.582080      2.374632
  384      1.157344      1.560416      2.348273
  385      1.152608      1.557504      2.351287
  386      1.156096      1.565216      2.353881
  387      1.164064      1.551360      2.332710
  388      1.155712      1.565696      2.354746
  389      1.154720      1.572448      2.361757
  390      1.149664      1.528832      2.329808
  391      1.152768      1.581568      2.371974
  392      1.150976      1.534976      2.333630
  393      1.158144      1.562624      2.349248
  394      1.141760      1.569632      2.374748
  395      1.147904      1.556480      2.355932
  396      1.148928      1.547264      2.346702
  397      1.158432      1.573600      2.358388
  398      1.149056      1.559072      2.356829
  399      1.158144      1.561088      2.347922
  400      1.147904      1.568352      2.366275
  401      1.145632      1.582720      2.381526
  402      1.153024      1.519616      2.317940
  403      1.148928      1.575520      2.371296
  404      1.155072      1.567744      2.357270
  405      1.144832      1.573664      2.374581
  406      1.145856      1.572864      2.372654
  407      1.155072      1.570816      2.359929
  408      1.152000      1.527808      2.326222
  409      1.159936      1.564864      2.349095
  410      1.166336      1.580032      2.354697
  411      1.150496      1.527424      2.327622
  412      1.156096      1.513600      2.309234
  413      1.159840      1.566720      2.350807
  414      1.164224      1.572864      2.350998
  415      1.159040      1.546240      2.334069
  416      1.159776      1.577760      2.360401
  417      1.156096      1.563648      2.352524
  418      1.145504      1.557504      2.359667
  419      1.161984      1.579008      2.358890
  420      1.163968      1.570816      2.349535
  421      1.176512      1.585152      2.347332
  422      1.163104      1.546240      2.329408
  423      1.150976      1.519616      2.320285
  424      1.147904      1.529856      2.332739
  425      1.150976      1.568768      2.362989
  426      1.151968      1.547264      2.343148
  427      1.180288      1.568768      2.329140
  428      1.149952      1.576576      2.370993
  429      1.151744      1.561280      2.355579
  430      1.156960      1.568768      2.355940
  431      1.154048      1.546240      2.339840
  432      1.154048      1.548480      2.341781
  433      1.140736      1.528832      2.340215
  434      1.143808      1.577568      2.379225
  435      1.170144      1.527680      2.305549
  436      1.148928      1.487872      2.295009
  437      1.164288      1.570656      2.349027
  438      1.156064      1.567744      2.356105
  439      1.157120      1.519616      2.313274
  440      1.150976      1.544192      2.341637
  441      1.157120      1.565184      2.352655
  442      1.153760      1.559488      2.351657
  443      1.147904      1.567840      2.365829
  444      1.155936      1.541696      2.333721
  445      1.150976      1.545024      2.342360
  446      1.170432      1.523712      2.301837
  447      1.147904      1.535744      2.337868
  448      1.168992      1.581056      2.352495
  449      1.153760      1.594336      2.381861
  450      1.146816      1.579008      2.376863
  451      1.160000      1.571776      2.354979
  452      1.167808      1.537024      2.316162
  453      1.167360      1.567840      2.343065
  454      1.154752      1.524736      2.320401
  455      1.160192      1.573888      2.356575
  456      1.145568      1.544192      2.347970
  457      1.148928      1.569792      2.366310
  458      1.153696      1.537024      2.332261
  459      1.142784      1.574912      2.378136
  460      1.151872      1.578048      2.369985
  461      1.156608      1.566720      2.354582
  462      1.149952      1.552384      2.349955
  463      1.142624      1.573888      2.377433
  464      1.154560      1.515072      2.312251
  465      1.157216      1.566656      2.353815
  466      1.153152      1.557344      2.350511
  467      1.149952      1.571424      2.366513
  468      1.153600      1.519616      2.317281
  469      1.148928      1.579904      2.375111
  470      1.145376      1.569664      2.370436
  471      1.161184      1.593728      2.372503
  472      1.153632      1.565696      2.357188
  473      1.147712      1.569792      2.367758
  474      1.156064      1.592320      2.377363
  475      1.157888      1.575936      2.361043
  476      1.148576      1.581728      2.377121
  477      1.150976      1.582080      2.374555
  478      1.153024      1.563488      2.355989
  479      1.154048      1.566336      2.357254
  480      1.151872      1.579008      2.370819
  481      1.146880      1.559296      2.359598
  482      1.152000      1.516384      2.316306
  483      1.155072      1.560576      2.351064
  484      1.172448      1.557408      2.328339
  485      1.154048      1.604032      2.389918
  486      1.145856      1.530304      2.335511
  487      1.160192      1.532256      2.320692
  488      1.150656      1.527328      2.327354
  489      1.157120      1.563200      2.350940
  490      1.148832      1.509376      2.313835
  491      1.145376      1.582080      2.381276
  492      1.155040      1.562624      2.352874
  493      1.153632      1.592384      2.380322
  494      1.144928      1.553280      2.356662
  495      1.145920      1.554336      2.356409
  496      1.150880      1.575744      2.369164
  497      1.153024      1.525760      2.323268
  498      1.164000      1.543040      2.325636
  499      1.149952      1.571040      2.366179
  500      1.145568      1.585696      2.384201
  501      1.145856      1.537536      2.341823
